카테고리,채널명,유형,규모/영향력,타겟,방법,비용,우선순위,비고
이벤트 플랫폼,온오프믹스,행사 플랫폼,누적 회원 200만+,일반/창업자/학생,무료 등록 + 유료 상단 노출,무료/유료,높음,이미 선공개 완료. 포스터 업데이트 필요
이벤트 플랫폼,Festa (페스타),행사 플랫폼,IT/스타트업 행사 1위. 월 방문자 수십만,개발자/창업자/스타트업,무료 이벤트 등록. 유료 메인배너/뉴스레터,무료/유료,높음,스타트업 행사라면 필수 등록
이벤트 플랫폼,이벤터스,행사 플랫폼,B2B/컨퍼런스 특화,기업 실무자/전문직,무료 페이지 생성. 유료 프로모션,무료/유료,중간,B2B 성격 행사에 강점
이벤트 플랫폼,루프 (Lup),행사 플랫폼,스타트업/테크 중심 신생,스타트업 종사자/개발자,무료 등록,무료,낮음,성장 중인 플랫폼
이벤트 플랫폼,모임뱅크,모임 플랫폼,소~중규모 세미나/교육,자기계발/네트워킹,무료 등록,무료,낮음,
스타트업 미디어,플래텀,전문 미디어,국내 스타트업 미디어 1~2위. 월 수십만 PV,VC/창업자/스타트업,보도자료 배포/이벤트 섹션/기사화,유료,높음,VC/창업자 필독 매체
스타트업 미디어,벤처스퀘어,전문 미디어,국내 대표 스타트업 미디어,VC/창업자/엔젤투자자,보도자료/배너/이벤트 게시판,유료,높음,투자/엑싯 소식 중심
스타트업 미디어,한경 긱스 (GEEKS),종합 미디어,한국경제 산하 스타트업 섹션,투자자/비즈니스 의사결정자,보도자료/기자 컨택,유/무료,중간,전통 미디어 신뢰도
스타트업 미디어,매경 스타트업,종합 미디어,매일경제 스타트업 섹션,투자자/정책 관계자,보도자료/미디어 파트너십,유/무료,중간,투자·정책 소식 중심
스타트업 미디어,아웃스탠딩,유료 미디어,깊이 있는 분석. 유료 구독자 수만,스타트업 종사자/기획자/투자자,네이티브 광고/스폰서드 콘텐츠,유료,중간,
스타트업 미디어,바이라인네트워크,IT/테크 미디어,IT 전문 기자 집단,IT 종사자/CTO/개발자,보도자료/미디어 파트너십,유/무료,낮음,테크 컨퍼런스 다수 주최
스타트업 미디어,EO (이오),유튜브/영상 미디어,구독자 100만+. 스타트업 최대 영상 미디어,예비창업자/MZ세대/창업자,콜라보/광고 협찬,유료(고가),예산 여유 시,파급력 최대. 단가 높음
커뮤니티,디스콰이엇,프로덕트 커뮤니티,IT 메이커 커뮤니티. 회원 수만,프로덕트 메이커/개발자/기획자,게시판 행사 게시(무료)/뉴스레터(유료),무료/유료,중간,
커뮤니티,긱뉴스 (GeekNews),개발자 커뮤니티,한국판 Hacker News. 일 방문자 수만,개발자/기술 창업자,링크 게시(무료). 커뮤니티 투표로 노출,무료,낮음,
커뮤니티,더팀스,채용/커뮤니티,스타트업 채용 플랫폼. 프로필 DB 보유,스타트업 종사자/구직자,배너/뉴스레터 삽입,유료,낮음,
커뮤니티,블라인드,직장인 커뮤니티,직장인 익명 커뮤니티. IT/스타트업 게시판,IT/스타트업 직장인,게시(비공식) or 공식 광고,무료/유료,낮음,
뉴스레터,스타트업위클리,뉴스레터,스타트업 소식 큐레이션. 구독자 수만,창업자/VC/스타트업 종사자,행사 소개 요청/유료 삽입 광고,유/무료,높음,업계 필독
뉴스레터,디캠프 뉴스레터,뉴스레터,은행권청년창업재단. 구독자 수만,예비/초기 창업자,담당자 컨택. 공익적 행사 게재 가능,무료(협의),높음,공익적 행사 환영
뉴스레터,DEMODAY,뉴스레터,투자/데모데이 전문 큐레이션,VC/엔젤투자자/창업자,행사 정보 제보,무료(제보),높음,무료+타겟 정확
뉴스레터,어피티,뉴스레터,MZ세대 경제/금융. 구독자 40만+,MZ세대 직장인/예비창업자,네이티브 광고/배너,유료,중간,타겟 넓지만 규모 큼
뉴스레터,캡틴,뉴스레터,VC/투자 업계 전문,VC/LP/투자업계,유료 광고/행사 소개,유료,중간,VC 타겟 정확
뉴스레터,eopla (이오플래닛),뉴스레터,EO 산하 커뮤니티,창업자/예비창업자,유료 협찬/행사 소개,유료,낮음,
뉴스레터,미라클레터,뉴스레터,글로벌 테크 소식. 구독자 30만+,비즈니스 리더/스타트업 관심층,유료 광고/행사 소개,유료,낮음,
뉴스레터,뉴닉,뉴스레터,시사/경제. 구독자 40만+,MZ세대/사회초년생,스폰서드 콘텐츠/배너,유료,낮음,타겟 넓음
SNS,인스타그램 (자사 계정),SNS,자체 운영,팔로워 대상,키비주얼 포스팅 + 유료 광고,무료+유료,높음,3대 채널 중 하나
SNS,페이스북 스타트업 그룹,SNS/커뮤니티,그룹당 1만~5만 멤버 다수,창업자/스타트업 종사자,그룹 내 행사 게시. 관리자 승인,무료,높음,"스타트업 네트워킹 코리아" 등
SNS,LinkedIn 개인 계정,SNS,업계 인사 팔로워 수천~수만,전문직/VC/경영진,행사 포스팅 + 업계 인물 태그,무료,높음,바이럴 효과 큼
SNS,LinkedIn 이벤트,SNS,연결 네트워크 초대,B2B/전문직,이벤트 생성 + 초대. 유료 광고 확대,무료/유료,중간,
SNS,X (트위터),SNS,한국 VC/창업자 다수 활동,VC/창업자/테크 종사자,행사 트윗 + 업계 리더 멘션,무료,중간,
SNS,리멤버,비즈니스 SNS,명함앱→비즈니스 SNS. 가입자 300만+,전문직/비즈니스,커뮤니티 게시 or 리멤버나우 광고,무료/유료,중간,
SNS,스레드 (Threads),SNS,성장 중. 업계 인사 이동 중,얼리어답터/스타트업,행사 포스팅 + 태그,무료,낮음,
SNS,네이버 카페 (창업 관련),커뮤니티,회원 수만~수십만,예비창업자/창업자,게시판 글 등록. 관리자 승인,무료,중간,"스타트업 허브" 등
카카오톡,스타트업 대표/네트워킹 방,오픈채팅,방당 500~1500명,창업자/스타트업 종사자,방 규칙 확인 후 공유. 방장 협의,무료,중간,
카카오톡,VC/투자자 네트워킹 방,오픈채팅,200~800명,VC 심사역/엔젤/창업자,투자 관련 행사 환영,무료,중간,
카카오톡,창업자/CEO 모임 방,오픈채팅,인증제 운영 방도 있음,현직 대표,자연스럽게 공유. 스팸 지양,무료,중간,
카카오톡,AC/프로그램 Alumni 방,단톡,100~500명,해당 프로그램 Alumni,관계자 통한 간접 공유,무료,낮음,프라이머/스파크랩/매쉬업엔젤스 등
오프라인,팁스타운 (행사 장소),포스터/게시판,행사 장소 입주사,스타트업 입주사,포스터 게시 + 입주사 안내,무료,높음,필수
오프라인,위워크,코워킹스페이스,서울 주요 거점. 입주사 수천,스타트업/프리랜서,로비 포스터/커뮤니티 게시판/이메일,무료(협의),중간,커뮤니티팀 컨택
오프라인,패스트파이브,코워킹스페이스,30+지점. 입주사 수천,스타트업/1인기업,뉴스레터/공용공간 포스터/앱 공지,무료(협의),중간,마케팅팀 협의
오프라인,스파크플러스,코워킹스페이스,강남/여의도/판교,스타트업/중소기업,입주사 이벤트 안내,무료(협의),낮음,
오프라인,디캠프,스타트업 캠퍼스,국내 최대 스타트업 캠퍼스,예비/초기 창업자,공간 포스터/공동 홍보,무료(협의),중간,
오프라인,마루180,스타트업 허브,스타트업얼라이언스 운영. 역삼,초기 스타트업/VC,포스터 게시,무료,낮음,팁스타운 근접
공공채널,K-Startup (창업진흥원),정부 포털,월 방문자 수십만,예비/초기 창업자,행사 게시판 등록 (심사 후 게재),무료,중간,공공성 행사 우선
공공채널,서울창업허브,지자체,서울시 운영. 다수 거점,서울 소재 창업자,게시판/뉴스레터 게재 요청,무료,중간,
공공채널,판교 스타트업캠퍼스,지자체,경기도 판교,판교 스타트업/기술 창업자,게시판/입주사 안내,무료,낮음,
공공채널,대학 창업지원단,대학,전국 100+개 대학,대학생/대학원생/교수 창업자,사무국 통한 안내. 교육적 행사 선호,무료,낮음,주요 5~10개 대학
