파트너십의 KPI,,,견적 참고 사항,,
"* 네이버플레이스·인스타그램·블로그 3채널에 집중하여 ""검색되고 → 찾아가고 → 다시 오는"" 구조 구축
* 전략1. 유입량 늘리기: 무가 씨딩 인플루언서 30명(릴스 30개) + 인스타 매장 붐업 콘텐츠 → 노출 폭발
* 전략2. 방문율 높이기: 네이버플레이스 최적화 + 블로그 리뷰 쌓기 + 키워드 선점 → 검색 전환
* 3개월 리테이너: 1개월 땅 다지기 → 2개월 불 지피기 → 3개월 엔진 걸기
* 3개월 후 자체 운영 가능한 가이드 + 콘텐츠 자산 + 다음 분기 제안까지 납품","* 무가 씨딩 인플루언서 음식 원가는 미례국밥 부담 (1인당 1~2인분 제공)
* 체험단 음식 원가는 미례국밥 부담
* 메타 광고비 별도 (월 100만원~ 권장)
* 블로그 콘텐츠는 1개월차 brandrise 직접 작성, 2개월차부터 내부 작성 전환 (기획·가이드 제공)",,
,,,,,
구분,항목,단가,기준,수량,합계
0) 마케팅 전략 & 채널 기반 세팅,"** 1개월차 집중 / 3개월 운영의 기반이 되는 전략 자산 구축",,,,
인스타그램 채널 전략 수립,"채널 컨셉, 비주얼 무드보드, 레퍼런스 계정 리스트업, 피드 가이드라인, Figma 템플릿",1200000,1회,1,1200000
네이버플레이스 풀 셋업,"전 항목 점검(영업시간·주차·메뉴 등), 키워드 세팅 10~15개, 메뉴판 정비, 대표 사진·소개란, 스마트콜·인스타 연동",800000,1회,1,800000
블로그 세팅 + 샘플 콘텐츠 5편,"네이버 블로그 개설·디자인, 콘텐츠 시리즈 기획(사장님 우당탕일기/리뷰로 먹고 살아요/많이들 궁금해하는), 샘플 5편 직접 작성",1000000,1회,1,1000000
,,,,,
>> 최종 납품 작업물,"인스타 채널 전략서, 무드보드, Figma 템플릿, 피드 가이드라인, 네이버플레이스 셋업 완료, 블로그 5편, 키워드 전략서",,,,
소계,,,,,3000000
1) 무가 씨딩 인플루언서 관리,"** 3개월간 10명/월, 총 30명 = 릴스 30개 / 유료 인플루언서 대비 릴스 볼륨 극대화 / 음식 원가만 미례 부담",,,,
인플루언서 선정·코디·관리,"월 10명 선정, 바이럴 포인트 가이드 제작, 방문 일정 코디, 릴스 QC(후킹·촬영·편집 가이드)",1200000,월,3,3600000
,,,,,
>> 최종 납품 작업물,"바이럴 가이드(매월 업데이트), 릴스 성과 리포트, 3개월 누적 릴스 30개",,,,
소계,,,,,3600000
2) 콘텐츠 기획·제작,"** 미례국밥 자체 인스타 채널 콘텐츠 / 매장 붐업 시리즈",,,,
인스타 콘텐츠 시리즈 기획·제작,"매장 붐업 콘텐츠(줄서기·매장 활기·돼지우동 클로즈업), 콘텐츠 캘린더(월간), 해시태그 전략",800000,월,3,2400000
,,,,,
>> 최종 납품 작업물,"월간 콘텐츠 캘린더, 콘텐츠 소재, 4개월차 이후 자체 운영용 캘린더",,,,
소계,,,,,2400000
3) 블로그 & 체험단 운영,"** 2~3개월차 / 블로그 리뷰 볼륨 확보 + 네이버플레이스 순위 연동",,,,
블로그 콘텐츠 기획·가이드,"시리즈별 콘텐츠 기획, 작성 가이드 제공 (내부 작성 전환)",500000,월,2,1000000
블로그 체험단 운영,"10~15팀/회, 블로그 리뷰 볼륨 확보, 체험단 모집·관리·QC",700000,회,2,1400000
,,,,,
>> 최종 납품 작업물,"블로그 콘텐츠 기획안, 작성 가이드, 체험단 리포트, 블로그 리뷰 누적 40편+",,,,
소계,,,,,2400000
4) 네이버플레이스 월간 관리,"** 2~3개월차 / 셋업 후 지속 관리·최적화",,,,
리뷰 관리·키워드 모니터링,"리뷰 응대 가이드, 키워드 순위 추적, 인스타·블로그·당근마켓 교차 링크 관리",500000,월,2,1000000
경쟁 매장 비교 분석,"같은 상권 국밥집 3곳 네이버플레이스 비교 리포트",500000,1회,1,500000
,,,,,
>> 최종 납품 작업물,"리뷰 관리 가이드, 키워드 순위 리포트, 경쟁 분석 리포트, 리뷰 유도 POP 제안",,,,
소계,,,,,1500000
5) 광고 운영 & 리포팅,"** 3개월간 / 무가 씨딩 릴스 + 자체 콘텐츠를 광고로 증폭 / 광고비 별도",,,,
메타 광고 세팅·운영,"릴스 도달 + 전환 광고 미디어믹스, 서울 2030 맛집 타겟팅, 소재별 최적화",500000,월,3,1500000
3개월 풀 리포트 + 가이드,"전 채널 성과 분석, 자체 운영 가이드, 다음 분기 전략 제안",600000,1회,1,600000
,,,,,
>> 최종 납품 작업물,"주간 리포트(12주), 3개월 풀 성과 리포트, 자체 운영 가이드, 다음 분기 제안서",,,,
소계,,,,,2100000
,,,,,
합계,,,,,15000000
,,,,,
별도 비용,,,,,
메타 광고비,"월 100만원~ (집행 규모에 따라 조절, 권장 월 100~150만)",,,3개월,3000000~
무가 씨딩 음식 원가,"미례국밥 부담 (인플루언서 1인당 1~2인분 제공, 30명 기준 약 60인분)",,,,미례 부담
체험단 음식 원가,"미례국밥 부담 (10~15팀 x 2회)",,,,미례 부담
,,,,,
예상 총 비용 가이드,,,,,
,"서비스비 (3개월)",,,,"15,000,000"
,"광고비 (3개월, 권장)",,,,3000000~
,"합계",,,,약 18000000~
